City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
2,Hilo,US,85.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
11,Butaritari,KI,81.1,clear sky,3.0707,172.7902,Isles Sunset Lodge
13,Ugoofaaru,MV,83.95,overcast clouds,5.6667,73.0,Ungoofaaru Inn
18,Lorengau,PG,85.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
21,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
24,Rikitea,PF,76.15,overcast clouds,-23.1203,-134.9692,People ThankYou
25,Isangel,VU,78.12,broken clouds,-19.55,169.2667,Tanna Lodge
30,Edd,ER,84.58,clear sky,13.9297,41.6925,
32,Atuona,PF,78.31,light rain,-9.8,-139.0333,Villa Enata
33,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
37,Fomboni,KM,82.04,clear sky,-12.28,43.7425,Auberge les abou
45,Hithadhoo,MV,82.51,broken clouds,-0.6,73.0833,Scoop Guest House
47,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Acapulco,MX,82.33,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
61,Rosarito,MX,83.66,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
62,Tura,IN,78.37,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
63,Aden,YE,88.36,clear sky,12.7794,45.0367,Sama Emirate Hotel
64,Linqing,CN,77.76,few clouds,36.8456,115.7117,Dongfang Hotel
66,Saint Pete Beach,US,78.01,few clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
68,Matara,LK,80.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
71,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Yangcun,CN,75.18,clear sky,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
82,Albuquerque,US,78.17,clear sky,35.0845,-106.6511,DoubleTree by Hilton Hotel Albuquerque
84,Nicoya,CR,80.89,light rain,10.1483,-85.452,Las Cabinas Del Sueño
85,Limaong,PH,82.71,overcast clouds,7.3606,122.3664,Malanta Beach
91,Lompoc,US,75.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
109,Trairi,BR,78.55,broken clouds,-3.2778,-39.2689,janelas do mar
113,Wattegama,LK,78.28,overcast clouds,6.7989,81.4808,
129,Maragogi,BR,77.2,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
134,Dingle,PH,88.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
136,Sao Filipe,CV,75.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
141,Georgetown,MY,87.73,light rain,5.4112,100.3354,Cititel Penang
143,Taoudenni,ML,80.69,few clouds,22.6783,-3.9836,
146,Bubaque,GW,78.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
152,Biltine,TD,84.43,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
153,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
159,Poum,NC,77.59,broken clouds,-20.2333,164.0167,
161,Bengkulu,ID,84.83,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Daru,PG,83.97,scattered clouds,-9.0763,143.2092,Daru Lodge
168,San Carlos,VE,78.78,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
169,Kloulklubed,PW,83.25,few clouds,7.0419,134.2556,Storyboard Beach Resort
171,Marapanim,BR,75.51,light rain,-0.7175,-47.6997,Ecomangue Pousada
172,Mareeba,AU,84.43,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
174,Tessalit,ML,79.11,clear sky,20.1986,1.0114,
179,Kavaratti,IN,80.64,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
180,Faanui,PF,81.72,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
183,Warri,NG,75.36,few clouds,5.5167,5.75,BON Hotel Delta
186,Majene,ID,85.44,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
189,Acarau,BR,78.03,broken clouds,-2.8856,-40.12,castelo pizzaria
190,Padang,ID,87.85,clear sky,-0.9492,100.3543,Mercure Padang
204,Tautira,PF,80.58,few clouds,-17.7333,-149.15,Pension Oaoa
206,Emerald,AU,82.35,scattered clouds,-23.5333,148.1667,The Irish Village
207,Puerto Escondido,MX,83.52,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
208,Meulaboh,ID,78.53,overcast clouds,4.1363,96.1285,Kost Pria
225,Sur,OM,85.01,clear sky,22.5667,59.5289,Sur Plaza Hotel
226,Thinadhoo,MV,83.08,overcast clouds,0.5333,72.9333,
227,Tari,NG,87.51,scattered clouds,12.4086,4.4914,
230,Garowe,SO,78.67,scattered clouds,8.4054,48.4845,Curubo Hotel
234,Cabo San Lucas,MX,82.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
235,San Policarpo,PH,84.22,moderate rain,12.1791,125.5072,Agapita M. Nicart
236,Nieuw Amsterdam,SR,78.03,overcast clouds,5.8833,-55.0833,Hotel Stardust
241,Bowen,AU,77.02,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
244,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
247,Lahaina,US,76.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
248,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
255,Karratha,AU,80.91,clear sky,-20.7377,116.8463,ibis Styles Karratha
257,Kavieng,PG,84.96,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
261,Alamos,MX,81.97,overcast clouds,27.0167,-108.9333,Luz del Sol
266,Galle,LK,81.34,overcast clouds,6.0367,80.217,Amangalla
274,Gorom-Gorom,BF,84.45,scattered clouds,14.4439,-0.2361,
281,Palasa,IN,88.68,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
283,Taitung,TW,75.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
286,Barinas,VE,77.74,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
289,Porbandar,IN,84.88,clear sky,21.6422,69.6093,Lords Inn Porbandar
290,Panacan,PH,85.19,scattered clouds,9.2463,118.4082,Mom's Place Resort
294,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
298,Itarema,BR,77.95,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
299,Socorro,US,87.19,clear sky,31.6546,-106.3033,guarderia imss papalote
300,Kon Tum,VN,86.27,overcast clouds,14.35,108.0,Hoa đà spa- homestay
302,Benjamin Constant,BR,75.25,clear sky,-4.3831,-70.0311,CASA AVALIADA
306,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
310,Dhidhdhoo,MV,82.96,overcast clouds,6.8833,73.1,Dhidhoo beach
311,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
312,Houston,US,82.38,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
317,Sao Raimundo Das Mangabeiras,BR,77.38,overcast clouds,-7.0219,-45.4811,Hotel Tropical
319,Castanos,MX,87.35,few clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
321,Pochutla,MX,82.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
324,Bathsheba,BB,79.25,clear sky,13.2167,-59.5167,Atlantis Hotel
326,Neiba,DO,75.31,overcast clouds,18.5,-71.4167,Ángel David Cuevas Mendez
327,Brokopondo,SR,76.33,overcast clouds,4.75,-55.1667,Matu Island
328,Laguna,US,86.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
333,Cotonou,BJ,81.01,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
334,Port-Gentil,GA,80.1,moderate rain,-0.7193,8.7815,Fengshui Residence
336,Gamba,GA,76.73,overcast clouds,-2.65,10.0,
337,Bilma,NE,77.7,clear sky,18.6853,12.9164,Expeditions Ténére voyages
341,Baghdad,IQ,79.12,few clouds,33.3406,44.4009,Baghdad Hotel
