City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,59.0,80,0,4.34,clear sky
1,Neiafu,TO,-18.65,-173.9833,79.48,69,75,5.75,broken clouds
2,Hilo,US,19.7297,-155.09,85.28,79,75,13.8,broken clouds
3,Pangnirtung,CA,66.1451,-65.7125,9.52,90,21,7.2,few clouds
4,Ambilobe,MG,-13.2,49.05,65.5,91,0,3.71,clear sky
5,Avarua,CK,-21.2078,-159.775,78.85,69,75,10.36,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,51.8,80,0,8.86,clear sky
7,Biggar,GB,55.6167,-3.5167,45.55,91,41,3.09,scattered clouds
8,Half Moon Bay,US,37.4636,-122.4286,71.8,80,20,21.85,few clouds
9,Naze,JP,28.3667,129.4833,67.12,78,100,17.87,light rain
10,Ilulissat,GL,69.2167,-51.1,5.32,87,20,7.78,few clouds
11,Butaritari,KI,3.0707,172.7902,81.1,72,4,5.73,clear sky
12,Zdunska Wola,PL,51.5992,18.9397,48.33,90,35,7.14,scattered clouds
13,Ugoofaaru,MV,5.6667,73.0,83.95,75,100,19.93,overcast clouds
14,Joshimath,IN,30.5667,79.5667,73.09,45,65,2.28,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,41.11,87,20,4.61,few clouds
16,Codrington,AU,-38.2667,141.9667,66.97,53,8,21.92,clear sky
17,Vardo,NO,70.3705,31.1107,37.38,100,100,4.61,overcast clouds
18,Lorengau,PG,-2.0226,147.2712,85.66,62,100,7.49,overcast clouds
19,Chara,RU,56.9064,118.2631,45.97,54,50,1.86,scattered clouds
20,Nikolskoye,RU,59.7035,30.7861,44.78,92,80,4.97,broken clouds
21,Sinnamary,GF,5.3833,-52.95,78.17,90,100,8.93,overcast clouds
22,Groa,NO,62.65,8.7167,38.8,100,96,4.25,light rain
23,Gritsovskiy,RU,54.1376,38.1604,44.82,89,100,6.58,overcast clouds
24,Rikitea,PF,-23.1203,-134.9692,76.15,75,100,20.96,overcast clouds
25,Isangel,VU,-19.55,169.2667,78.12,61,69,12.57,broken clouds
26,Fez,MA,34.0372,-4.9998,62.85,88,40,4.61,scattered clouds
27,Deputatskiy,RU,69.3,139.9,20.8,88,100,10.45,light snow
28,Busselton,AU,-33.65,115.3333,61.29,59,100,8.61,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,51.48,66,29,2.21,scattered clouds
30,Edd,ER,13.9297,41.6925,84.58,60,0,0.36,clear sky
31,Cape Town,ZA,-33.9258,18.4232,57.11,77,0,8.05,clear sky
32,Atuona,PF,-9.8,-139.0333,78.31,79,10,17.45,light rain
33,Alofi,NU,-19.0595,-169.9187,78.69,57,79,10.36,broken clouds
34,Ostrovnoy,RU,68.0531,39.5131,38.61,75,61,5.3,broken clouds
35,Nanortalik,GL,60.1432,-45.2371,31.5,82,100,5.12,overcast clouds
36,Zapolyarnyy,RU,69.4154,30.8136,36.68,82,26,2.84,scattered clouds
37,Fomboni,KM,-12.28,43.7425,82.04,67,0,15.86,clear sky
38,Koygorodok,RU,60.445,50.9968,44.64,87,77,4.7,broken clouds
39,Qaanaaq,GL,77.484,-69.3632,14.27,67,48,6.71,scattered clouds
40,Ushuaia,AR,-54.8,-68.3,40.66,75,20,9.22,few clouds
41,Esperance,AU,-33.8667,121.9,57.04,76,100,13.38,overcast clouds
42,Hasaki,JP,35.7333,140.8333,64.8,62,100,15.14,overcast clouds
