City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Geraldton,AU,2022-05-13 21:46:05,-28.7667,114.6,61.21,77,100,8.05
1,San Jose,US,2022-05-13 21:42:11,37.3394,-121.895,81.88,42,20,16.11
2,Portland,US,2022-05-13 21:45:08,45.5234,-122.6762,60.28,61,100,5.75
3,Mataura,NZ,2022-05-13 21:46:06,-46.1927,168.8643,52.48,95,84,1.66
4,Shenzhen,CN,2022-05-13 21:45:50,22.5455,114.0683,77.85,98,89,4.29
5,Necochea,AR,2022-05-13 21:46:07,-38.5473,-58.7368,52.63,76,50,8.48
6,Limon,CR,2022-05-13 21:46:07,10.0,-83.0333,78.69,89,100,8.05
7,Ribeira Grande,PT,2022-05-13 21:42:07,38.5167,-28.7,60.89,72,99,4.59
8,Goderich,CA,2022-05-13 21:45:09,43.7501,-81.7165,75.52,57,5,6.91
9,Albany,US,2022-05-13 21:42:23,42.6001,-73.9662,84.63,52,29,1.01
10,Qaanaaq,GL,2022-05-13 21:46:08,77.484,-69.3632,17.2,78,50,2.46
11,Cardston,CA,2022-05-13 21:46:09,49.2,-113.3019,51.94,29,100,24.16
12,Kapaa,US,2022-05-13 21:46:09,22.0752,-159.319,82.38,76,0,13.8
13,Rikitea,PF,2022-05-13 21:46:10,-23.1203,-134.9692,77.54,73,66,20.15
14,Rongcheng,CN,2022-05-13 21:46:10,30.634,117.8517,56.1,92,37,4.16
15,Saint George,US,2022-05-13 21:45:08,37.1041,-113.5841,87.44,10,0,8.99
16,Valparaiso,CL,2022-05-13 21:45:43,-33.0393,-71.6273,70.03,66,0,9.22
17,Airai,TL,2022-05-13 21:45:07,-8.9266,125.4092,59.59,94,84,1.72
18,New Norfolk,AU,2022-05-13 21:45:02,-42.7826,147.0587,52.92,87,100,2.33
19,Mbigou,GA,2022-05-13 21:46:12,-1.9005,11.906,68.2,98,29,1.59
20,Atuona,PF,2022-05-13 21:46:12,-9.8,-139.0333,78.26,70,50,17.98
21,Taltal,CL,2022-05-13 21:46:13,-25.4,-70.4833,61.86,75,23,4.85
22,Pemangkat,ID,2022-05-13 21:46:13,1.1667,108.9667,78.6,80,100,2.26
23,Hermanus,ZA,2022-05-13 21:45:08,-34.4187,19.2345,57.79,74,59,8.05
24,Pevek,RU,2022-05-13 21:42:09,69.7008,170.3133,30.69,77,95,19.48
25,Jamestown,US,2022-05-13 21:46:14,42.097,-79.2353,76.64,50,40,9.22
26,Quixeramobim,BR,2022-05-13 21:46:15,-5.1992,-39.2928,77.74,78,99,5.35
27,Espinosa,BR,2022-05-13 21:46:15,-14.9261,-42.8192,81.86,37,98,7.65
28,Hobart,AU,2022-05-13 21:45:45,-42.8794,147.3294,53.28,92,75,3.44
29,Waipawa,NZ,2022-05-13 21:46:16,-41.4122,175.5153,56.66,66,99,8.57
30,Thompson,CA,2022-05-13 21:45:09,55.7435,-97.8558,39.36,81,100,14.97
31,Dali,CN,2022-05-13 21:46:17,25.7,100.1833,61.59,91,98,4.0
32,Mahebourg,MU,2022-05-13 21:46:18,-20.4081,57.7,71.89,73,20,4.61
33,Tasiilaq,GL,2022-05-13 21:46:18,65.6145,-37.6368,28.56,69,34,1.3
34,Cap Malheureux,MU,2022-05-13 21:46:19,-19.9842,57.6142,70.47,76,37,3.0
35,Bluff,NZ,2022-05-13 21:42:18,-46.6,168.3333,52.81,89,88,7.34
36,Ushuaia,AR,2022-05-13 21:41:47,-54.8,-68.3,44.26,87,75,8.05
37,Saint Anthony,US,2022-05-13 21:46:19,45.0205,-93.218,76.93,43,0,13.8
38,Marawi,PH,2022-05-13 21:46:20,7.9986,124.2928,70.38,90,95,1.92
39,Port Said,EG,2022-05-13 21:46:20,31.2565,32.2841,69.78,88,0,9.22
40,Kahului,US,2022-05-13 21:46:01,20.8947,-156.47,86.02,39,40,11.01
41,Punta Arenas,CL,2022-05-13 21:41:43,-53.15,-70.9167,44.71,70,75,8.05
42,Acapulco,MX,2022-05-13 21:45:16,16.8634,-99.8901,88.14,59,100,11.54
43,Placido De Castro,BR,2022-05-13 21:46:22,-10.3353,-67.1856,81.72,67,79,1.77
44,Dalby,AU,2022-05-13 21:42:11,-27.1833,151.2667,64.98,93,96,1.01
45,Revelstoke,CA,2022-05-13 21:43:42,50.9832,-118.2023,50.02,62,100,4.61
46,Urucara,BR,2022-05-13 21:46:23,-2.5364,-57.76,76.59,93,98,2.24
47,Tambovka,RU,2022-05-13 21:46:23,50.0969,128.0489,44.13,66,29,6.51
48,Bengkulu,ID,2022-05-13 21:47:24,-3.8004,102.2655,77.11,89,44,4.05
49,Wahiawa,US,2022-05-13 21:47:24,21.5028,-158.0236,82.72,58,20,10.36
50,Villa Carlos Paz,AR,2022-05-13 21:47:25,-31.4241,-64.4978,62.89,40,100,1.99
51,Osmanabad,IN,2022-05-13 21:45:08,18.1667,76.05,84.42,42,94,12.1
52,Puerto Ayora,EC,2022-05-13 21:47:26,-0.7393,-90.3518,84.16,89,95,5.01
53,Mar Del Plata,AR,2022-05-13 21:43:05,-38.0023,-57.5575,57.87,83,100,5.75
54,Lusaka,ZM,2022-05-13 21:47:27,-15.4067,28.2871,60.75,64,21,3.78
55,Fortuna,US,2022-05-13 21:47:27,40.5982,-124.1573,65.91,77,100,0.0
56,Cayenne,GF,2022-05-13 21:47:28,4.9333,-52.3333,83.08,1,100,5.75
57,Padang,ID,2022-05-13 21:47:29,-0.9492,100.3543,76.41,81,70,4.29
58,Ondjiva,AO,2022-05-13 21:47:29,-17.0667,15.7333,65.89,31,3,6.2
59,Bardiyah,LY,2022-05-13 21:47:30,31.7561,25.0865,65.03,73,0,6.08
60,Kasama,ZM,2022-05-13 21:47:30,-10.2129,31.1808,56.01,81,45,2.91
61,Touros,BR,2022-05-13 21:46:29,-5.1989,-35.4608,79.03,83,85,9.93
62,Sambava,MG,2022-05-13 21:47:31,-14.2667,50.1667,72.27,80,2,11.52
63,Hilo,US,2022-05-13 21:47:32,19.7297,-155.09,85.28,75,100,13.8
